ID	Name	Category	Type	Components	Marinobacter_sp_ES_048	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15_8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_sp_EN3	Marinobacter_sp_ES_1	Marinobacter_sp_EVN1	Marinobacter_excellens_HL_55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF_4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_sp_LV10R510_8	Marinobacter_manganoxydans_MnI7_9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15_8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC_M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC_23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_ES_042	Marinobacter_sp_FDB33	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510_1	Marinobacter_sp_LV10R510_11A	Marinobacter_sp_LV10R520_4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_zhejiangensis_CGMCC_1_7061
M00036	Leucine_degradation_leucine_=>_acetoacetate_+_acetyl-CoA	Branched-chain_amino_acid_metabolism	Pathway	6	100	100	100	100	100	100	100	100	100	83.3	100	83.3	83.3	100	100	100	100	100	83.3	100	100	83.3	100	100	83.3	100	83.3	100	16.7	100	100	100	100	100	83.3	100	100	100	100	100	100	100	100	100	100	100	100	83.3	100	100	100	83.3	100	100	100	100	100	100	83.3	83.3	83.3
M00016	Lysine_biosynthesis_succinyl-DAP_pathway_aspartate_=>_lysine	Lysine_metabolism	Pathway	9	100	100	100	100	100	100	100	100	100	88.9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00525	Lysine_biosynthesis_acetyl-DAP_pathway_aspartate_=>_lysine	Lysine_metabolism	Pathway	9	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7
M00526	Lysine_biosynthesis_DAP_dehydrogenase_pathway_aspartate_=>_lysine	Lysine_metabolism	Pathway	6	83.3	83.3	83.3	83.3	83.3	100	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	100	83.3	100	83.3	83.3	83.3	83.3	83.3	100	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	100	83.3	83.3	83.3	83.3	100	83.3	100	83.3	83.3	83.3	83.3	83.3	83.3
M00527	Lysine_biosynthesis_DAP_aminotransferase_pathway_aspartate_=>_lysine	Lysine_metabolism	Pathway	7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7	85.7
M00030	Lysine_biosynthesis_AAA_pathway_2-oxoglutarate_=>_2-aminoadipate_=>_lysine	Lysine_metabolism	Pathway	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	12.5	0	0	0	0	0	0
M00433	Lysine_biosynthesis_2-oxoglutarate_=>_2-oxoadipate	Lysine_metabolism	Pathway	3..4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00031	Lysine_biosynthesis_mediated_by_LysW_2-aminoadipate_=>_lysine	Lysine_metabolism	Pathway	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00032	Lysine_degradation_lysine_=>_saccharopine_=>_acetoacetyl-CoA	Lysine_metabolism	Pathway	7..9	57.1	57.1	57.1	57.1	57.1	57.1	42.9	57.1	57.1	42.9	57.1	57.1	57.1	57.1	57.1	57.1	57.1	42.9	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	42.9	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	42.9	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	57.1	62.5	57.1	62.5	57.1	57.1	57.1	57.1	57.1	57.1
M00015	Proline_biosynthesis_glutamate_=>_proline	Arginine_and_proline_metabolism	Pathway	2..3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00028	Ornithine_biosynthesis_glutamate_=>_ornithine	Arginine_and_proline_metabolism	Pathway	4..5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00763	Ornithine_biosynthesis_mediated_by_LysW_glutamate_=>_ornithine	Arginine_and_proline_metabolism	Pathway	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00029	Urea_cycle	Arginine_and_proline_metabolism	Pathway	5	60	60	40	40	60	60	40	60	60	60	40	40	40	60	40	60	40	40	40	40	40	60	60	60	60	60	40	60	40	60	40	40	60	60	60	60	60	60	40	60	60	40	60	40	60	60	60	60	60	60	60	40	60	60	60	60	40	60	40	60	60
M00026	Histidine_biosynthesis_PRPP_=>_histidine	Histidine_metabolism	Pathway	7..9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9	88.9
M00045	Histidine_degradation_histidine_=>_N-formiminoglutamate_=>_glutamate	Histidine_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	75	0	0	0	0	0	0	0	25	25	25	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
M00022	Shikimate_pathway_phosphoenolpyruvate_+_erythrose-4P_=>_chorismate	Aromatic_amino_acid_metabolism	Pathway	4..7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00023	Tryptophan_biosynthesis_chorismate_=>_tryptophan	Aromatic_amino_acid_metabolism	Pathway	3..5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00024	Phenylalanine_biosynthesis_chorismate_=>_phenylalanine	Aromatic_amino_acid_metabolism	Pathway	2..3	50	50	50	100	50	50	50	100	50	50	50	50	50	50	50	50	50	50	50	100	50	50	50	50	50	50	50	50	50	50	100	50	50	100	50	50	50	50	100	50	50	50	50	50	50	50	50	100	50	50	50	50	50	50	50	50	50	50	50	50	50
M00025	Tyrosine_biosynthesis_chorismate_=>_tyrosine	Aromatic_amino_acid_metabolism	Pathway	2..3	33.3	33.3	33.3	66.7	33.3	33.3	33.3	66.7	66.7	33.3	66.7	33.3	33.3	33.3	33.3	33.3	66.7	66.7	33.3	66.7	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	66.7	33.3	33.3	66.7	33.3	33.3	33.3	33.3	66.7	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	100	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
M00040	Tyrosine_biosynthesis_prephanate_=>_pretyrosine_=>_tyrosine	Aromatic_amino_acid_metabolism	Pathway	2	0	0	0	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	50	0	0	50	0	0	0	0	50	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
M00042	Catecholamine_biosynthesis_tyrosine_=>_dopamine_=>_noradrenaline_=>_adrenaline	Aromatic_amino_acid_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00043	Thyroid_hormone_biosynthesis_tyrosine_=>_triiodothyronine/thyroxine	Aromatic_amino_acid_metabolism	Pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044	Tyrosine_degradation_tyrosine_=>_homogentisate	Aromatic_amino_acid_metabolism	Pathway	5	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00533	Homoprotocatechuate_degradation_homoprotocatechuate_=>_2-oxohept-3-enedioate	Aromatic_amino_acid_metabolism	Pathway	4	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
M00545	Trans-cinnamate_degradation_trans-cinnamate_=>_acetyl-CoA	Aromatic_amino_acid_metabolism	Pathway	6..7	33.3	33.3	33.3	33.3	0	50	83.3	0	0	0	0	33.3	33.3	0	0	50	0	16.7	50	0	33.3	0	0	50	33.3	0	0	50	33.3	16.7	33.3	50	33.3	0	16.7	0	16.7	0	33.3	0	0	33.3	33.3	33.3	33.3	50	50	0	0	33.3	0	33.3	33.3	0	0	0	33.3	33.3	83.3	0	66.7
M00350	Capsaicin_biosynthesis_L-Phenylalanine_=>_Capsaicin	Aromatic_amino_acid_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00037	Melatonin_biosynthesis_tryptophan_=>_serotonin_=>_melatonin	Aromatic_amino_acid_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00038	Tryptophan_metabolism_tryptophan_=>_kynurenine_=>_2-aminomuconate	Aromatic_amino_acid_metabolism	Pathway	7	14.3	14.3	14.3	14.3	0	14.3	0	0	0	0	0	14.3	14.3	0	0	14.3	0	0	14.3	0	14.3	0	0	28.6	14.3	0	0	14.3	14.3	0	14.3	14.3	14.3	0	0	0	0	0	14.3	0	0	14.3	14.3	14.3	14.3	14.3	14.3	0	0	0	0	14.3	14.3	0	0	0	14.3	14.3	0	0	14.3
M00033	Ectoine_biosynthesis_aspartate_=>_ectoine	Other_amino_acid_metabolism	Pathway	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	100	100	100	100	100	100	100	100
M00027	GABA_(gamma-Aminobutyrate)_shunt	Other_amino_acid_metabolism	Pathway	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	66.7
M00047	Creatine_pathway	Other_amino_acid_metabolism	Pathway	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00127	Thiamine_biosynthesis_AIR_=>_thiamine-P/thiamine-2P	Cofactor_and_vitamin_biosynthesis	Pathway	5	80	80	80	80	60	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	60	80	80	80	80	80	80	60	60	80	80	80	80	80	80	80	80	80	60	80	80	80	80	60	80	60	80	80	80	80	80	80
M00125	Riboflavin_biosynthesis_GTP_=>_riboflavin/FMN/FAD	Cofactor_and_vitamin_biosynthesis	Pathway	6..8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00124	Pyridoxal_biosynthesis_erythrose-4P_=>_pyridoxal-5P	Cofactor_and_vitamin_biosynthesis	Pathway	6	100	100	100	100	83.3	100	83.3	83.3	100	100	100	83.3	100	100	100	100	83.3	83.3	100	100	100	100	100	100	83.3	100	83.3	83.3	83.3	100	100	100	83.3	83.3	83.3	100	83.3	100	100	83.3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	83.3	83.3	83.3
M00115	NAD_biosynthesis_aspartate_=>_NAD	Cofactor_and_vitamin_biosynthesis	Pathway	5	100	100	100	80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00622	Nicotinate_degradation_nicotinate_=>_fumarate	Cofactor_and_vitamin_biosynthesis	Pathway	6	16.7	16.7	0	16.7	16.7	0	0	0	0	0	0	0	0	0	16.7	16.7	0	0	0	33.3	0	0	0	0	0	16.7	0	0	0	16.7	0	0	16.7	16.7	0	0	0	33.3	0	0	0	0	16.7	0	0	16.7	16.7	33.3	0	0	0	0	0	0	0	16.7	0	0	0	0	16.7
M00119	Pantothenate_biosynthesis_valine/L-aspartate_=>_pantothenate	Cofactor_and_vitamin_biosynthesis	Pathway	5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
M00120	Coenzyme_A_biosynthesis_pantothenate_=>_CoA	Cofactor_and_vitamin_biosynthesis	Pathway	3..5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00572	Pimeloyl-ACP_biosynthesis_BioC-BioH_pathway_malonyl-ACP_=>_pimeloyl-ACP	Cofactor_and_vitamin_biosynthesis	Pathway	6	100	100	100	100	66.7	100	83.3	66.7	83.3	83.3	83.3	83.3	83.3	100	100	100	83.3	83.3	83.3	100	100	83.3	100	100	100	100	83.3	83.3	83.3	100	100	100	83.3	66.7	66.7	100	66.7	100	100	83.3	100	100	83.3	100	100	100	100	100	100	100	100	83.3	100	100	100	66.7	100	100	83.3	100	100
M00123	Biotin_biosynthesis_pimeloyl-ACP/CoA_=>_biotin	Cofactor_and_vitamin_biosynthesis	Pathway	3..4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00573	Biotin_biosynthesis_BioI_pathway_long-chain-acyl-ACP_=>_pimeloyl-ACP_=>_biotin	Cofactor_and_vitamin_biosynthesis	Pathway	5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
M00577	Biotin_biosynthesis_BioW_pathway_pimelate_=>_pimeloyl-CoA_=>_biotin	Cofactor_and_vitamin_biosynthesis	Pathway	5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
M00126	Tetrahydrofolate_biosynthesis_GTP_=>_THF	Cofactor_and_vitamin_biosynthesis	Pathway	5..7	85.7	100	100	100	100	100	100	85.7	100	85.7	100	100	100	100	85.7	100	100	100	100	85.7	100	100	85.7	100	100	85.7	100	100	85.7	85.7	100	100	85.7	85.7	85.7	100	85.7	85.7	100	100	100	100	100	100	100	100	100	100	100	85.7	85.7	100	85.7	85.7	85.7	100	100	100	85.7	100	100
M00121	Heme_biosynthesis_glutamate_=>_protoheme/siroheme	Cofactor_and_vitamin_biosynthesis	Pathway	11	90.9	90.9	90.9	90.9	81.8	90.9	90.9	81.8	90.9	81.8	90.9	81.8	90.9	90.9	90.9	100	90.9	90.9	90.9	90.9	90.9	81.8	90.9	90.9	81.8	81.8	90.9	90.9	90.9	90.9	90.9	90.9	90.9	81.8	81.8	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	90.9	81.8	81.8	81.8
M00129	Ascorbate_biosynthesis_animals_glucose-1P_=>_ascorbate	Cofactor_and_vitamin_biosynthesis	Pathway	6	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	50	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
M00114	Ascorbate_biosynthesis_plants_glucose-6P_=>_ascorbate	Cofactor_and_vitamin_biosynthesis	Pathway	7..9	33.3	44.4	44.4	44.4	44.4	22.2	44.4	44.4	33.3	33.3	33.3	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	22.2	33.3	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	22.2	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	22.2
M00550	Ascorbate_degradation_ascorbate_=>_D-xylulose-5P	Cofactor_and_vitamin_biosynthesis	Pathway	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00112	Tocopherol/tocotorienol_biosynthesis	Cofactor_and_vitamin_biosynthesis	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
M00122	Cobalamin_biosynthesis_cobinamide_=>_cobalamin	Cofactor_and_vitamin_biosynthesis	Pathway	7	14.3	28.6	14.3	100	42.9	57.1	100	100	14.3	14.3	100	14.3	100	14.3	14.3	14.3	100	100	100	100	100	14.3	85.7	14.3	100	100	100	14.3	100	100	100	100	14.3	14.3	14.3	100	100	100	100	100	14.3	100	57.1	100	14.3	14.3	14.3	100	14.3	100	14.3	100	100	100	100	85.7	100	14.3	100	100	100
M00117	Ubiquinone_biosynthesis_prokaryotes_chorismate_=>_ubiquinone	Cofactor_and_vitamin_biosynthesis	Pathway	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00128	Ubiquinone_biosynthesis_eukaryotes_4-hydroxybenzoate_=>_ubiquinone	Cofactor_and_vitamin_biosynthesis	Pathway	6	16.7	16.7	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	16.7	16.7	16.7	16.7	0	0	0	16.7	0	16.7	0	0	16.7	0	0	0
M00116	Menaquinone_biosynthesis_chorismate_=>_menaquinone	Cofactor_and_vitamin_biosynthesis	Pathway	9	33.3	44.4	44.4	22.2	44.4	44.4	33.3	22.2	33.3	33.3	33.3	44.4	22.2	44.4	22.2	44.4	33.3	33.3	22.2	33.3	33.3	44.4	33.3	44.4	22.2	22.2	33.3	44.4	22.2	33.3	22.2	33.3	44.4	44.4	33.3	22.2	33.3	22.2	33.3	33.3	44.4	22.2	33.3	22.2	33.3	44.4	44.4	33.3	44.4	22.2	44.4	22.2	33.3	33.3	33.3	33.3	22.2	44.4	33.3	44.4	22.2
M00118	Glutathione_biosynthesis_glutamate_=>_glutathione	Cofactor_and_vitamin_biosynthesis	Pathway	2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00140	C1-unit_interconversion_prokaryotes	Cofactor_and_vitamin_biosynthesis	Pathway	3	100	66.7	66.7	100	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	100	66.7	66.7	66.7	66.7	66.7	66.7	100	66.7	66.7	100	66.7	100	66.7	66.7	66.7	66.7	100	66.7	66.7	66.7	66.7	66.7	66.7	66.7	100	66.7	100	100	100	100	100	100	100	66.7	66.7	100	100	66.7	66.7	66.7	66.7	66.7	100	100	66.7	66.7	66.7
M00141	C1-unit_interconversion_eukaryotes	Cofactor_and_vitamin_biosynthesis	Pathway	2..3	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00133	Polyamine_biosynthesis_arginine_=>_agmatine_=>_putrescine_=>_spermidine	Polyamine_biosynthesis	Pathway	4	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	0	75	75	75	75	75	75	75	75	75	0	75	75	75	75	0	75	0	75	75	75	75	75	75
M00134	Polyamine_biosynthesis_arginine_=>_ornithine_=>_putrescine	Polyamine_biosynthesis	Pathway	2	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0
M00135	GABA_biosynthesis_eukaryotes_putrescine_=>_GABA	Polyamine_biosynthesis	Pathway	3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	66.7	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0
M00136	GABA_biosynthesis_prokaryotes_putrescine_=>_GABA	Polyamine_biosynthesis	Pathway	4	0	50	50	50	25	0	0	50	0	0	0	0	0	50	50	50	0	0	0	50	50	0	25	50	0	50	0	0	0	50	50	0	50	0	50	0	0	25	50	0	50	50	0	50	50	50	50	25	0	0	50	0	25	0	25	0	50	50	0	0	0
M00538	Toluene_degradation_toluene_=>_benzoate	Aromatics_degradation	Pathway	3	0	0	0	0	0	33.3	33.3	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0	0	0	0	33.3	0	0	0	33.3	0	33.3	0	0	0	0	33.3	0	33.3	33.3	33.3	0	0	33.3	0	0	0	0	0	33.3	0	0	0	0	0	0	0	0	0	0	0
